Year,D Value,D After Value
1977,1.444,1.475
1978,1.216,1.282
1979,1.485,1.548
1981,1.53,1.581
1982,1.53,1.574
1983,1.314,1.367
1984,1.46,1.551
1985,1.483,1.565
1986,1.449,1.568
1987,1.231,1.317
1988,1.474,1.551
1989,1.31,1.362
1990,1.336,1.362
1991,0.966,0.997
1992,1.141,1.198
1993,1.333,1.397
1994,1.157,1.213
1995,1.057,1.097
1996,1.024,1.02
1997,1.049,1.052
2000,0.865,0.883
2002,1.153,1.192
2004,1.175,1.251
2005,0.96,0.962
2006,0.886,0.888
2008,1.273,1.308
2009,0.948,1.003
2011,1.132,1.169
